"ID","cluster"
"AT4G30720","01"
"AT1G76930","01"
"AT1G62560","01"
"AT2G05100","01"
"AT2G19990","01"
"AT1G05207","01"
"AT2G06520","01"
"AT2G34430","01"
"AT5G54270","01"
"AT3G16140","01"
"AT3G23430","01"
"AT3G54890","01"
"AT5G28450","01"
"AT1G67090","01"
"AT3G61470","01"
"AT3G11630","01"
"AT4G01150","01"
"AT5G38410","01"
"AT5G38420","01"
"AT1G31330","01"
"AT4G21280","01"
"AT1G03130","01"
"AT5G13630","01"
"AT2G42610","01"
"AT3G26060","01"
"AT1G60950","01"
"AT2G26500","01"
"AT1G49860","01"
"AT4G20360","01"
"AT1G63615","01"
"AT3G19700","01"
"AT3G45390","01"
"AT2G43100","01"
"AT1G16410","01"
"AT3G49680","01"
"AT1G29910","01"
"AT5G14200","01"
"AT1G78370","01"
"AT3G19710","01"
"AT2G35660","01"
"ATCG00260","01"
"AT2G38230","01"
"AT4G15160","01"
"AT5G03085","01"
"AT1G71100","01"
"AT3G02020","01"
"AT1G07647","01"
"AT5G01600","01"
"AT4G04925","01"
"AT4G19090","01"
"AT5G10660","01"
"AT5G45030","01"
"AT1G31240","01"
"AT2G05070","01"
"AT1G22910","01"
"AT1G05805","01"
"AT5G23010","01"
"AT4G28030","01"
"AT5G02095","01"
"AT4G12800","01"
"AT1G64900","01"
"AT5G01530","01"
"AT4G12555","01"
"AT4G12543","01"
"AT4G12550","01"
"AT1G55673","01"
"AT3G05015","01"
"AT5G06575","01"
"AT5G08280","01"
"AT3G07925","01"
"AT3G46900","01"
"AT2G08330","01"
"AT1G08463","01"
"AT1G68110","01"
"AT1G55670","01"
"AT1G10110","01"
"AT1G54500","01"
"AT5G04590","01"
"AT5G04950","01"
"AT2G27420","01"
"AT1G07693","01"
"AT4G20362","01"
"AT2G32179","01"
"AT2G38210","01"
"AT4G27440","01"
"AT2G13360","01"
"AT3G09905","01"
"AT2G37220","01"
"AT2G47560","01"
"AT2G47590","01"
"AT5G63470","01"
"AT2G23350","01"
"AT3G07540","01"
"AT3G26650","01"
"AT5G38520","01"
"AT5G64380","01"
"AT5G42830","01"
"AT1G09913","01"
"AT2G34420","01"
"AT2G40100","01"
"AT4G09975","01"
"AT4G16980","01"
"AT5G51110","01"
"AT3G07430","01"
"AT4G13770","01"
"AT4G26530","01"
"AT1G15830","01"
"AT4G04640","01"
"AT2G33800","01"
"AT3G18890","01"
"AT1G09750","01"
"AT3G48310","01"
"AT4G02770","01"
"AT2G39730","01"
"AT3G27850","01"
"AT1G67740","01"
"AT5G21930","01"
"AT2G43030","01"
"AT4G10340","01"
"AT5G16390","01"
"AT4G32260","01"
"AT4G38970","01"
"AT1G75460","01"
"AT4G24770","01"
"AT1G03680","01"
"AT5G63570","01"
"AT5G39830","01"
"AT2G39190","01"
"AT1G75500","01"
"AT2G42380","01"
"AT2G35500","01"
"AT1G34430","01"
"AT1G74090","01"
"AT1G15690","01"
"AT1G65250","01"
"AT1G65860","01"
"AT5G26970","01"
"AT4G26860","01"
"AT5G42100","01"
"AT1G01120","01"
"AT2G45470","01"
"AT1G11545","01"
"AT2G28000","01"
"AT1G11260","01"
"AT1G35420","01"
"AT2G32180","01"
"AT2G42600","01"
"AT1G05253","01"
"AT2G32690","01"
"AT3G49220","01"
"AT2G32910","01"
"AT4G34480","01"
"AT1G79560","01"
"AT4G33010","01"
"AT4G38860","01"
"AT2G16950","01"
"AT3G16830","01"
"AT1G50840","01"
"AT4G33510","01"
"AT5G51120","01"
"AT5G66920","01"
"AT1G12330","01"
"AT5G02160","01"
"AT2G05812","01"
"AT3G44704","01"
"AT5G58250","01"
"AT2G35720","01"
"AT3G01865","01"
"AT3G05285","01"
"AT4G26370","01"
"AT4G16920","01"
"AT5G65610","01"
"AT1G21520","01"
"AT5G60860","01"
"AT4G09695","01"
"AT5G05255","01"
"AT1G54200","01"
